x,y
0.0,-0.5412657
1.0,-0.19188571
2.0,0.2567104
3.0,0.5747161
4.0,0.5994102
5.0,0.3187495
6.0,-0.122444876
7.0,-0.4968855
8.0,-0.6115762
9.0,-0.4069566
10.0,0.033329368
11.0,0.029180773
12.0,0.0264314
13.0,0.024718588
14.0,0.023773687
15.0,0.02339766
16.0,0.023443071
17.0,0.02380069
18.0,0.024389597
19.0,0.025149848
20.0,0.026037032
21.0,0.027018253
22.0,0.028069137
23.0,0.029171625
24.0,0.030312348
25.0,0.65625
26.0,0.49696547
27.0,0.09908018
28.0,-0.33236578
29.0,-0.5750923
30.0,-0.5037657
31.0,-0.15438572
32.0,0.2942104
33.0,0.61221606
34.0,0.6369102
35.0,0.35624948
36.0,-0.084944874
37.0,-0.4593855
38.0,-0.5740762
39.0,-0.3694566
40.0,0.07082936
41.0,0.066680774
42.0,0.0639314
43.0,0.062218584
44.0,0.061273687
45.0,0.06089766
46.0,0.06094307
47.0,0.061300687
48.0,0.061889596
49.0,0.062649846
50.0,0.06353703
51.0,0.06451825
52.0,0.06556913
53.0,0.066671625
54.0,0.067812346
55.0,0.69375
56.0,0.5344655
57.0,0.13658018
58.0,-0.2948658
59.0,-0.5375923
60.0,-0.46626574
61.0,-0.11688571
62.0,0.3317104
63.0,0.6497161
64.0,0.67441016
65.0,0.39374948
66.0,-0.04744488
67.0,-0.4218855
68.0,-0.5365762
69.0,-0.3319566
70.0,0.10832937
71.0,0.10418077
72.0,0.1014314
73.0,0.099718586
74.0,0.09877369
75.0,0.09839766
76.0,0.09844307
77.0,0.09880069
78.0,0.0993896
79.0,0.10014984
80.0,0.101037025
81.0,0.10201825
82.0,0.103069134
83.0,0.104171626
84.0,0.10531235
85.0,0.73125
86.0,0.57196546
87.0,0.1740802
88.0,-0.25736576
89.0,-0.5000923
90.0,-0.4287657
91.0,-0.07938571
92.0,0.36921042
93.0,0.68721604
94.0,0.7119102
95.0,0.4312495
96.0,-0.0099448785
97.0,-0.3843855
98.0,-0.4990762
99.0,-0.2944566
100.0,0.14582936
101.0,0.14168078
102.0,0.1389314
103.0,0.13721858
104.0,0.13627368
105.0,0.13589765
106.0,0.13594307
107.0,0.13630068
108.0,0.13688959
109.0,0.13764985
110.0,0.13853703
111.0,0.13951826
112.0,0.14056914
113.0,0.14167163
114.0,0.14281234
115.0,0.76875
116.0,0.6094655
117.0,0.21158019
118.0,-0.21986578
119.0,-0.4625923
120.0,-0.39126575
121.0,-0.04188572
122.0,0.40671042
123.0,0.72471607
124.0,0.74941015
125.0,0.4687495
126.0,0.027555123
127.0,-0.3468855
128.0,-0.4615762
129.0,-0.2569566
130.0,0.18332936
131.0,0.17918077
132.0,0.17643139
133.0,0.17471857
134.0,0.17377368
135.0,0.17339766
136.0,0.17344308
137.0,0.17380069
138.0,0.1743896
139.0,0.17514984
140.0,0.17603703
141.0,0.17701825
142.0,0.17806913
143.0,0.17917162
144.0,0.18031234
145.0,0.80625
146.0,0.64696544
147.0,0.24908018
148.0,-0.18236578
149.0,-0.4250923
150.0,-0.35376573
151.0,-0.0043857098
152.0,0.4442104
153.0,0.7622161
154.0,0.7869102
155.0,0.5062495
156.0,0.06505512
157.0,-0.3093855
158.0,-0.4240762
159.0,-0.21945661
160.0,0.22082935
161.0,0.21668078
162.0,0.2139314
163.0,0.21221858
164.0,0.21127369
165.0,0.21089765
166.0,0.21094307
167.0,0.21130069
168.0,0.2118896
169.0,0.21264984
170.0,0.21353702
171.0,0.21451825
172.0,0.21556912
173.0,0.21667163
174.0,0.21781234
175.0,0.84375
176.0,0.68446547
177.0,0.28658018
178.0,-0.14486578
179.0,-0.38759232
